NOTIFICATION,DESCRIPTION,PRIORITY,INITIAL RECOMMENDATION,State,NEW RECOMMENDATION,ENGINEERING REVIEW OUTCOMES
24860457,leak due to external metal loss with 1mm pin hole t nominal 2 sch 80 nwt 554mmlowest ultrasonic test reading adjacent to defect area 506mmextended ultrasonic test reading area for 500mm each side of finding 536mm ,1,to be rectified,revise,to be repaired/ replaced,sectional replacement
24860458,leak due to external metal loss with 1mm pin hole t nominal 2 sch 80 nwt 554mmlowest ultrasonic test reading adjacent to defect area 506mmextended ultrasonic test reading area for 500mm each side of finding 536mm ,1,to be rectified,revise,to be repaired/ replaced,sectional replacement
24879575,hand grip parted on one end,1,to be rectified,revise,to be repaired/ replaced,check if still in use.sectional replacement
24944222,bolt and nut for 2 600 valve assembly severely corroded more than 80,2,to be rectified,revise,to be repaired/ replaced,replace bolts and nuts surface cleaning. apply trenton wax tape
25036183,localized corrosion under pipe support with thick scaling ,1,to be rectified,revise,to be painted,surface cleaning. apply trenton wax tape
24861202,severely corroded at valve flange and bolts ,1,to be rectified,revise,to be painted,surface cleaning. apply trenton wax tape
25036898,flange connection and without heavy duty corrosion resistant glass reinforced epoxyase depleted bolt or nuts more than 50 from original thickness with severe corrosion and thick scaling localized corrosion with scaling on weldneck flange and weldment ,2,to be rectified,revise,to be painted,to use trenton wax tape
24979497,piping in direct contact with pipe support without i rod,1,to be rectified,revise,to be painted,surface cleaning. apply trenton wax tape
24979499,piping in direct contact with pipe support without i rod,1,to be rectified,revise,to be painted,surface cleaning. apply trenton wax tape
25047561,pipe support without i rod and ubolt ,1,to be rectified,remain,to be rectified,to install ubolts. if no nearby ubolts installed
24964404,depleted bolt and nuts around 25 from original thickness ,1,to be repaired/ replaced,revise,to be painted,surface cleaning. apply trenton wax tape at corroded area
24964401,depleted bolt and nuts around 25 from original thickness ,1,to be repaired/ replaced,revise,to be painted,maintenance painting at bolts and nuts
24964302,depleted bolt and nuts around 50 from original thickness ,1,to be repaired/ replaced,revise,to be painted,surface cleaning. apply trenton wax tape at corroded area
24964287,depleted bolt and nuts of check valve around 50 from original thickness ,1,to be repaired/ replaced,revise,to be painted,surface cleaning. apply trenton wax tape at corroded area
24964285,depleted bolt and nuts around 50 from original thickness ,1,to be repaired/ replaced,revise,to be painted,surface cleaning. apply trenton wax tape at corroded area
24900527,a pin hole with size measuring 4mm in diameter observed on pipe elbow at 12 oclock position ultrasonic test readings adjacent to defect min 28mm max 47mm ,1,to be repaired/ replaced,remain,to be repaired/ replaced,repair pinhole using metal putty or sectional replacement using bonlok
24900527,a pin hole with size measuring 4mm in diameter observed on pipe elbow at 12 oclock position ultrasonic test readings adjacent to defect min 28mm max 47mm ,1,to be repaired/ replaced,remain,to be repaired/ replaced,repair pinhole using metal putty or sectional replacement using bonlok
24900527,a pin hole with size measuring 4mm in diameter observed on pipe elbow at 12 oclock position ultrasonic test readings adjacent to defect min 28mm max 47mm ,1,to be repaired/ replaced,remain,to be repaired/ replaced,repair pinhole using metal putty or sectional replacement using bonlok
